,Name,Symbols,Total ESG Score,Environment Score,Social Score,Governance Score,Controversy Score,Controversy Assessment,Sector,Description
0,"Agilent Technologies, Inc.",A,15,0.3,8.6,6.3,1,Little Controversy,Healthcare,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California."
1,American Airlines Group Inc.,AAL,29,11.5,12.3,5.3,2,Moderate Controversy,Industrials,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas."
2,"Advance Auto Parts, Inc. ",AAP,12,0.1,8.3,3.1,2,Moderate Controversy,Consumer Cyclical,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers."
3,Apple Inc.,AAPL,17,0.6,6.9,9.2,3,Relatively High Controversy,Technology,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook."
4,AbbVie Inc.,ABBV,28,1.1,16.8,9.9,3,Relatively High Controversy,Healthcare,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.
5,AmerisourceBergen Corporation (ABC),ABC,12,1.3,5.6,5.2,3,Relatively High Controversy,Healthcare,
6,Abbott Laboratories,ABT,25,3.0,13.6,8.4,3,Relatively High Controversy,Healthcare,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013."
7,Arch Capital Group Ltd.,ACGL,21,1.5,7.3,12.0,2,Moderate Controversy,Financial Services,"Arch Capital Group Ltd., offers insurance, reinsurance and mortgage products worldwide. The company is headquartered in Pembroke, Bermuda."
8,Accenture plc,ACN,10,0.3,4.6,4.8,2,Moderate Controversy,Technology,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009."
9,Adobe Inc.,ADBE,12,1.9,5.9,4.6,1,Little Controversy,Technology,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing."
10,"Analog Devices, Inc.",ADI,24,10.1,7.7,5.9,0,No Controversy,Technology,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Wilmington, Massachusetts."
11,Archer-Daniels-Midland Company,ADM,36,18.2,13.2,5.0,3,Relatively High Controversy,Consumer Defensive,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide."
12,"Automatic Data Processing, Inc.",ADP,14,1.1,7.0,5.9,1,Little Controversy,Industrials,
13,Autodesk Inc.,ADSK,16,3.4,8.2,4.4,0,No Controversy,Technology,
14,Ameren Corporation,AEE,30,14.1,9.9,5.5,2,Moderate Controversy,Utilities,
15,"American Electric Power Company, Inc.",AEP,26,12.8,7.5,5.4,2,Moderate Controversy,Utilities,
16,The AES Corporation ,AES,34,16.5,11.2,6.5,2,Moderate Controversy,Utilities,
17,Aflac Incorporated ,AFL,17,0.5,7.3,9.6,2,Moderate Controversy,Financial Services,
18,"American International Group, Inc.",AIG,25,1.9,9.7,13.8,2,Moderate Controversy,Financial Services,
19,"Assurant, Inc. ",AIZ,24,1.6,11.6,11.3,3,Relatively High Controversy,Financial Services,
20,Arthur J. Gallagher & Co.,AJG,21,0.1,10.7,10.5,2,Moderate Controversy,Financial Services,"Arthur J. Gallagher & Co. (AJG) is an American global insurance brokerage and risk management services firm headquartered in Rolling Meadows, Illinois."
21,"Akamai Technologies, Inc. ",AKAM,17,2.9,6.9,6.7,1,Little Controversy,Technology,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services."
22,Albemarle Corporation ,ALB,29,15.5,5.5,7.7,2,Moderate Controversy,Basic Materials,"Albemarle Corporation is a fine chemical manufacturing company based in Charlotte, North Carolina."
23,The Allstate Corporation,ALL,19,1.4,7.8,9.9,2,Moderate Controversy,Financial Services,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois."
24,Allegion plc,ALLE,24,12.8,4.5,6.4,0,No Controversy,Industrials,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin."
25,"Applied Materials, Inc. ",AMAT,12,3.8,2.6,5.1,1,Little Controversy,Technology,
26,"AMETEK, Inc.",AME,24,8.6,8.5,6.9,1,Little Controversy,Industrials,
27,Amgen Inc.,AMGN,22,0.7,13.5,7.9,3,Relatively High Controversy,Healthcare,
28,"Ameriprise Financial, Inc. ",AMP,23,2.6,7.2,12.8,2,Moderate Controversy,Financial Services,
29,American Tower Corporation,AMT,11,2.4,3.6,5.0,1,Little Controversy,Real Estate,
30,"Amazon.com, Inc.",AMZN,30,5.6,14.8,9.9,3,Relatively High Controversy,Consumer Cyclical,
31,"Arista Networks, Inc.",ANET,16,0.4,8.9,7.1,1,Little Controversy,Technology,
32,"ANSYS, Inc.",ANSS,13,0.9,7.3,4.9,0,No Controversy,Technology,
33,A. O. Smith Corporation ,AOS,25,7.3,11.9,6.3,0,No Controversy,Industrials,
34,APA Corporation,APA,39,22.0,8.9,8.0,2,Moderate Controversy,Energy,"APA Corporation is the holding company for Apache Corporation, a company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in Houston."
35,"Air Products and Chemicals, Inc.",APD,11,5.9,1.3,3.6,1,Little Controversy,Basic Materials,"Air Products and Chemicals, Inc. is an American international corporation whose principal business is selling gases and chemicals for industrial uses. Air Products' headquarters is in Allentown, Pennsylvania."
36,Amphenol Corporation ,APH,21,8.0,5.5,7.8,2,Moderate Controversy,Technology,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp."
37,Aptiv PLC,APTV,12,2.5,3.8,5.3,1,Little Controversy,Consumer Cyclical,"Aptiv plc is an auto parts company headquartered in Dublin, Ireland."
38,"Alexandria Real Estate Equities, Inc.",ARE,14,3.9,3.7,6.3,0,No Controversy,Real Estate,"Alexandria Real Estate Equities, Inc. is an American real estate investment trust that invests in office buildings and laboratories leased to tenants in the life science and technology industries."
39,Atmos Energy Corporation ,ATO,35,14.8,13.4,6.5,2,Moderate Controversy,Utilities,
40,"Activision Blizzard, Inc.",ATVI,19,0.2,12.5,6.3,4,Severe Controversy,Communication Services,
41,"AvalonBay Communities, Inc.",AVB,11,3.0,3.0,4.6,1,Little Controversy,Real Estate,
42,Broadcom Inc. ,AVGO,22,8.8,6.9,6.7,3,Relatively High Controversy,Technology,
43,Avery Dennison Corporation,AVY,15,10.6,1.1,3.7,1,Little Controversy,Consumer Cyclical,
44,"American Water Works Company, Inc.",AWK,22,9.0,7.6,5.3,1,Little Controversy,Utilities,
45,American Express Company,AXP,18,0.1,8.4,9.9,2,Moderate Controversy,Financial Services,
46,"AutoZone, Inc. ",AZO,11,0.1,7.1,3.8,2,Moderate Controversy,Consumer Cyclical,
47,The Boeing Company,BA,35,7.1,19.7,7.9,4,Severe Controversy,Industrials,
48,Bank of America Corporation ,BAC,27,1.6,14.4,11.2,3,Relatively High Controversy,Financial Services,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. It services approximately 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking."
49,Ball Corporation,BALL,11,5.9,1.1,3.8,2,Moderate Controversy,Consumer Cyclical,"Ball Corporation supplies aluminum packaging products to the beverage, personal care, and household products industries in the United States, Brazil, and internationally. The company is headquartered in Westminster, Colorado."
50,Baxter International Inc.,BAX,24,2.8,13.6,7.3,3,Relatively High Controversy,Healthcare,"Baxter International Inc. is an American multinational health care company with headquarters in Deerfield, Illinois. The company primarily focuses on products to treat hemophilia, kidney disease, immune disorders and other chronic and acute medical conditions. "
51,"Bath & Body Works, Inc.",BBWI,16,2.6,8.4,4.5,2,Moderate Controversy,Consumer Cyclical,None
52,"Best Buy Co., Inc.",BBY,14,2.2,7.2,4.8,2,Moderate Controversy,Consumer Cyclical,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota."
53,"Becton, Dickinson and Company",BDX,27,3.7,15.6,7.5,3,Relatively High Controversy,Healthcare,
54,"Franklin Resources, Inc.",BEN,18,1.1,9.9,7.2,2,Moderate Controversy,Financial Services,
55,Bunge Limited,BG,34,15.3,13.6,5.3,3,Relatively High Controversy,Consumer Defensive,
56,Biogen Inc.,BIIB,21,0.0,13.2,7.8,3,Relatively High Controversy,Healthcare,
57,"Bio-Rad Laboratories, Inc. ",BIO,17,1.4,8.3,7.2,1,Little Controversy,Healthcare,
58,The Bank of New York Mellon Corporation,BK,21,1.1,9.2,11.2,3,Relatively High Controversy,Financial Services,
59,Booking Holdings Inc.,BKNG,22,2.0,12.5,7.8,3,Relatively High Controversy,Consumer Cyclical,
60,"BlackRock, Inc.",BLK,21,1.5,9.6,9.5,2,Moderate Controversy,Financial Services,
61,Bristol-Myers Squibb Company,BMY,23,0.3,14.9,7.6,2,Moderate Controversy,Healthcare,
62,"Broadridge Financial Solutions, Inc.",BR,16,0.8,9.0,6.4,2,Moderate Controversy,Technology,"Broadridge Financial Solutions is a public corporate services company founded in 2007 as a spin-off from Automatic Data Processing. The main business of Broadridge is as a service provider supplying public companies with proxy statements, annual reports and other financial documents, and shareholder communications solutions, such as virtual annual meetings."
63,"Brown & Brown, Inc. ",BRO,21,0.2,10.6,10.7,1,Little Controversy,Financial Services,"Brown & Brown, Inc. markets and sells insurance products and services in the United States, Bermuda, Canada, the Cayman Islands, Ireland, and the United Kingdom. The company is headquartered in Daytona Beach, Florida."
64,Boston Scientific Corporation,BSX,26,3.0,12.7,10.6,2,Moderate Controversy,Healthcare,"Boston Scientific Corporation, doing business as Boston Scientific, is a manufacturer of medical devices used in interventional medical specialties, including interventional radiology, interventional cardiology, peripheral interventions, neuromodulation, neurovascular intervention, electrophysiology, cardiac surgery, vascular surgery, endoscopy, oncology, urology and gynecology."
65,BorgWarner Inc.,BWA,13,2.9,4.2,5.7,2,Moderate Controversy,Consumer Cyclical,"BorgWarner Inc. is an American multinational automotive supplier headquartered in Auburn Hills, Michigan."
66,"Boston Properties, Inc.",BXP,13,2.5,4.5,5.4,1,Little Controversy,Real Estate,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C."
67,Citigroup Inc.,C,27,1.8,13.1,11.8,4,Severe Controversy,Financial Services,
68,"Conagra Brands, Inc.",CAG,32,11.0,15.9,4.9,2,Moderate Controversy,Consumer Defensive,
69,"Cardinal Health, Inc.",CAH,12,1.5,5.9,4.9,3,Relatively High Controversy,Healthcare,
70,Caterpillar Inc.,CAT,34,7.2,18.5,8.5,4,Severe Controversy,Unknown,
71,Chubb Limited ,CB,24,1.7,11.6,10.6,2,Moderate Controversy,Financial Services,
72,"Cboe Global Markets, Inc.",CBOE,21,2.7,7.6,10.6,1,Little Controversy,Financial Services,
73,"CBRE Group, Inc. ",CBRE,7,1.3,2.4,3.2,1,Little Controversy,Real Estate,
74,Crown Castle Inc. ,CCI,13,5.2,2.9,5.1,0,No Controversy,Real Estate,
75,Carnival Corporation & plc ,CCL,24,10.0,9.9,3.8,3,Relatively High Controversy,Consumer Cyclical,
76,"Cadence Design Systems, Inc.",CDNS,12,1.4,6.1,4.7,0,No Controversy,Technology,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards."
77,CDW Corporation ,CDW,9,2.4,3.3,3.5,0,No Controversy,Technology,"CDW Corporation, headquartered in Lincolnshire, Illinois, is a provider of technology products and services for business, government and education."
78,Celanese Corporation,CE,29,15.1,7.7,6.5,2,Moderate Controversy,Basic Materials,"Celanese Corporation is a Fortune 500 global technology and specialty materials company headquartered in Irving, Texas, United States."
79,"CF Industries Holdings, Inc.",CF,30,16.8,7.7,5.5,1,Little Controversy,Basic Materials,"CF Industries Holdings, Inc. is a North American manufacturer and distributor of agricultural fertilizers, based in Deerfield, Illinois."
80,"Citizens Financial Group, Inc.",CFG,23,2.0,10.1,11.4,2,Moderate Controversy,Financial Services,"Citizens Financial Group, Inc. is an American bank headquartered in Providence, Rhode Island."
81,"Church & Dwight Co., Inc. ",CHD,20,6.5,6.6,6.6,2,Moderate Controversy,Consumer Defensive,
82,"C.H. Robinson Worldwide, Inc.",CHRW,20,5.2,9.3,5.6,1,Little Controversy,Industrials,
83,"Charter Communications, Inc.",CHTR,27,5.6,13.1,7.9,2,Moderate Controversy,Communication Services,
84,The Cigna Group,CI,12,0.0,6.0,5.7,2,Moderate Controversy,Healthcare,
85,Cincinnati Financial Corporation ,CINF,26,1.8,11.0,12.8,1,Little Controversy,Financial Services,
86,Colgate-Palmolive Company ,CL,22,6.1,9.4,6.7,3,Relatively High Controversy,Consumer Defensive,
87,The Clorox Company,CLX,21,6.3,9.2,5.6,2,Moderate Controversy,Consumer Defensive,
88,Comerica Incorporated,CMA,26,2.3,11.0,12.7,2,Moderate Controversy,Financial Services,
89,Comcast Corporation,CMCSA,25,4.6,12.1,8.1,2,Moderate Controversy,Communication Services,
90,CME Group Inc.,CME,15,2.1,6.2,6.2,1,Little Controversy,Financial Services,
91,"Chipotle Mexican Grill, Inc.",CMG,24,5.5,13.4,4.7,2,Moderate Controversy,Consumer Cyclical,"Chipotle Mexican Grill, Inc., often known simply as Chipotle, is an American chain of fast casual restaurants in the United States, United Kingdom, Canada, Germany, and France, specializing in tacos and Mission burritos that are made to order in front of the customer."
92,Cummins Inc.,CMI,19,5.8,7.5,6.1,2,Moderate Controversy,Industrials,"Cummins is a Columbus, Indiana based multinational corporation that designs, manufactures, and distributes engines, filtration, and power generation products. Cummins also services engines and related equipment, including fuel systems, controls, air handling, filtration, emission control, electrical power generation systems, and trucks."
93,CMS Energy Corporation ,CMS,21,9.8,5.8,5.7,2,Moderate Controversy,Utilities,"CMS Energy (NYSE: CMS), based in Jackson, Michigan, is an energy company that is focused principally on utility operations in Michigan."
94,Centene Corporation,CNC,21,0.1,13.3,7.2,2,Moderate Controversy,Healthcare,"Centene Corporation is a large publicly traded company and a multi-line managed care enterprise that serves as a major intermediary for both government-sponsored and privately insured health care programs. It is a healthcare insurer that focuses on managed care for uninsured, underinsured, and low-income individuals."
95,"CenterPoint Energy, Inc. ",CNP,26,10.6,9.6,5.4,2,Moderate Controversy,Utilities,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas."
96,Capital One Financial Corporation,COF,23,0.1,13.3,9.2,4,Severe Controversy,Financial Services,"Capital One Financial Corporation is an American bank holding company specializing in credit cards, auto loans, banking, and savings accounts, headquartered in McLean, Virginia with operations primarily in the United States."
97,"The Cooper Companies, Inc.",COO,20,2.7,10.8,6.0,2,Moderate Controversy,Healthcare,
98,ConocoPhillips ,COP,35,17.3,9.7,7.9,2,Moderate Controversy,Energy,
99,Costco Wholesale Corporation,COST,24,7.3,11.2,5.7,3,Relatively High Controversy,Consumer Defensive,
100,Campbell Soup Company,CPB,24,10.9,8.1,4.5,2,Moderate Controversy,Consumer Defensive,
101,"Copart, Inc. ",CPRT,18,1.6,11.0,5.4,1,Little Controversy,Consumer Cyclical,
102,Camden Property Trust,CPT,16,4.5,4.1,7.3,1,Little Controversy,Real Estate,
103,"Salesforce, Inc.",CRM,13,2.0,6.0,4.0,2,Moderate Controversy,Technology,
104,"Cisco Systems, Inc.",CSCO,12,0.0,5.6,6.4,2,Moderate Controversy,Technology,
105,"CoStar Group, Inc. ",CSGP,27,5.4,13.1,8.4,1,Little Controversy,Real Estate,
106,CSX Corporation,CSX,20,7.4,9.2,3.4,3,Relatively High Controversy,Industrials,
107,Cintas Corporation,CTAS,18,3.2,9.2,5.9,2,Moderate Controversy,Industrials,"Cintas Corporation is an American corporation headquartered in Cincinnati, Ohio, which provides a range of products and services to businesses including uniforms, mats, mops, cleaning and restroom supplies, first aid and safety products, fire extinguishers and testing, and safety courses."
108,Coterra Energy Inc.,CTRA,46,24.1,13.1,8.8,2,Moderate Controversy,Energy,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas."
109,Cognizant Technology Solutions Corporation,CTSH,14,1.1,7.6,5.6,2,Moderate Controversy,Technology,"Cognizant is an American multinational technology company that provides business consulting, information technology and outsourcing services. It is headquartered in Teaneck, New Jersey, United States."
110,CVS Health Corporation,CVS,23,0.0,16.4,6.4,3,Relatively High Controversy,Healthcare,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island."
111,Chevron Corporation,CVX,38,18.6,8.7,10.3,3,Relatively High Controversy,Energy,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation."
112,"Dominion Energy, Inc. ",D,25,11.1,8.6,5.7,2,Moderate Controversy,Utilities,
113,"Delta Air Lines, Inc.",DAL,26,9.5,11.5,5.2,2,Moderate Controversy,Industrials,
114,"DuPont de Nemours, Inc.",DD,29,13.4,8.1,7.4,3,Relatively High Controversy,Basic Materials,
115,Deere & Company ,DE,17,3.2,6.9,6.6,2,Moderate Controversy,Industrials,
116,Discover Financial Services,DFS,23,0.1,11.9,10.6,2,Moderate Controversy,Financial Services,
117,Dollar General Corporation ,DG,17,3.3,8.6,5.5,2,Moderate Controversy,Consumer Defensive,
118,Quest Diagnostics Incorporated,DGX,21,0.0,13.0,8.0,3,Relatively High Controversy,Healthcare,
119,"D.R. Horton, Inc.",DHI,22,9.4,6.7,5.7,2,Moderate Controversy,Consumer Cyclical,
120,Danaher Corporation,DHR,12,1.4,5.2,5.2,2,Moderate Controversy,Healthcare,
121,The Walt Disney Company,DIS,15,0.1,7.9,6.9,2,Moderate Controversy,Communication Services,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California."
122,DISH Network Corporation,DISH,21,1.6,10.3,9.6,3,Relatively High Controversy,Communication Services,"DISH Network Corporation is an American television provider and the owner of the direct-broadcast satellite provider DISH, commonly known as DISH Network, and the over-the-top IPTV service, Sling TV."
123,"Digital Realty Trust, Inc.",DLR,13,2.8,2.8,7.0,0,No Controversy,Real Estate,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services."
124,"Dollar Tree, Inc.",DLTR,15,3.4,7.4,4.1,2,Moderate Controversy,Consumer Defensive,"Dollar Tree is an American chain of discount variety stores that sells items for $1 or less, headquartered in Chesapeake, Virginia."
125,"Dollar Tree, Inc.",DOV,25,7.1,12.4,5.8,1,Little Controversy,Industrials,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois."
126,"Domino's Pizza, Inc.",DPZ,31,7.7,16.7,6.6,2,Moderate Controversy,Consumer Cyclical,
127,"Darden Restaurants, Inc.",DRI,28,8.4,15.0,4.6,2,Moderate Controversy,Consumer Cyclical,
128,DTE Energy Company,DTE,30,15.3,10.0,4.8,2,Moderate Controversy,Utilities,
129,Duke Energy Corporation,DUK,28,14.5,8.6,4.6,2,Moderate Controversy,Utilities,
130,DaVita Inc.,DVA,23,0.1,14.1,8.4,2,Moderate Controversy,Healthcare,
131,Devon Energy Corporation,DVN,37,20.7,8.1,7.8,2,Moderate Controversy,Energy,
132,DXC Technology Company,DXC,16,1.3,9.7,5.1,2,Moderate Controversy,Technology,
133,"DexCom, Inc. ",DXCM,24,5.4,10.2,8.1,0,No Controversy,Healthcare,
134,Electronic Arts Inc.,EA,10,0.1,5.5,4.7,2,Moderate Controversy,Communication Services,
135,eBay Inc.,EBAY,17,0.9,9.3,6.8,2,Moderate Controversy,Consumer Cyclical,
136,Ecolab Inc.,ECL,24,9.5,8.4,6.2,2,Moderate Controversy,Basic Materials,"Ecolab Inc., headquartered in St. Paul, Minnesota, is an American corporation that develops and offers services, technology and systems that specialize in water treatment, purification, cleaning and hygiene in a wide variety of applications. It helps organizations both private market as well as public treat their water, not only for drinking directly, but also for use in food, healthcare, hospitality related safety and industry."
137,"Consolidated Edison, Inc.",ED,23,7.5,9.3,6.3,3,Relatively High Controversy,Utilities,"Consolidated Edison, Inc., commonly known as Con Edison (stylized as conEdison) or ConEd, is one of the largest investor-owned energy companies in the United States, with approximately $12 billion in annual revenues as of 2017, and over $48 billion in assets. The company provides a wide range of energy-related products and services to its customers through its subsidiaries."
138,Equifax Inc. ,EFX,26,0.2,18.6,7.0,4,Severe Controversy,Industrials,"Equifax Inc. is an American multinational consumer credit reporting agency and is one of the three largest consumer credit reporting agencies, along with Experian and TransUnion. In addition to credit and demographic data and services to business, Equifax sells credit monitoring and fraud prevention services directly to consumers."
139,Edison International,EIX,27,10.7,11.2,5.5,3,Relatively High Controversy,Utilities,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy."
