,Name,Symbols,Total ESG Score,Environment Score,Social Score,Governance Score,Controversy Score,Controversy Assessment,Sector,Description
140,The Estée Lauder Companies Inc.,EL,26,6.9,11.3,7.7,2,Moderate Controversy,Consumer Defensive,"The Estee Lauder Companies Inc. is an American multinational manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products, based in Midtown Manhattan, New York City. The company owns a diverse portfolio of brands, distributed internationally through both digital commerce and retail channels."
141,"Elevance Health, Inc. ",ELV,11,0.0,5.8,5.7,2,Moderate Controversy,Healthcare,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana."
142,Eastman Chemical Company,EMN,25,12.0,5.4,7.2,2,Moderate Controversy,Basic Materials,
143,Emerson Electric Co.,EMR,29,10.1,12.3,7.0,2,Moderate Controversy,Industrials,
144,"EOG Resources, Inc.",EOG,36,20.4,8.1,7.7,1,Little Controversy,Energy,
145,"Equinix, Inc. ",EQIX,12,2.6,3.5,5.7,1,Little Controversy,Real Estate,
146,Equity Residential,EQR,11,2.9,3.1,5.2,1,Little Controversy,Real Estate,
147,EQT Corporation,EQT,37,19.0,10.1,7.5,1,Little Controversy,Energy,
148,Eversource Energy,ES,19,4.8,8.2,5.8,2,Moderate Controversy,Utilities,
149,Eaton Corporation plc,ETN,18,5.4,6.8,5.7,1,Little Controversy,Industrials,
150,Entergy Corporation,ETR,30,16.3,6.8,6.4,2,Moderate Controversy,Utilities,
151,Edwards Lifesciences Corporation,EW,19,2.9,8.9,7.6,2,Moderate Controversy,Healthcare,"Edwards Lifesciences is an American medical technology company headquartered in Irvine, California, specializing in artificial heart valves and hemodynamic monitoring."
152,Exelon Corporation,EXC,24,8.8,9.0,6.6,3,Relatively High Controversy,Utilities,"Exelon Corporation is an American Fortune 100 energy company headquartered in Chicago, Illinois and incorporated in Pennsylvania."
153,"Expeditors International of Washington, Inc.",EXPD,16,3.8,7.3,4.6,2,Moderate Controversy,Industrials,"Expeditors (Expeditors International of Washington) is an American worldwide logistics and freight forwarding company headquartered in Seattle, Washington."
154,"Expedia Group, Inc.",EXPE,26,2.1,13.8,9.8,2,Moderate Controversy,Consumer Cyclical,"Expedia Group, Inc. is an American online travel shopping company for consumer and small business travel. Its websites, which are primarily travel fare aggregators and travel metasearch engines, include Expedia.com, Vrbo (previously HomeAway), Hotels.com, Hotwire.com, Orbitz, Travelocity, trivago and CarRentals.com."
155,Extra Space Storage Inc.,EXR,14,3.8,4.3,6.0,1,Little Controversy,Real Estate,"Extra Space Storage is a real estate investment trust headquartered in Cottonwood Heights, Utah that invests in self storage units."
156,Ford Motor Company,F,30,9.3,11.3,9.4,3,Relatively High Controversy,Consumer Cyclical,"Ford Motor Company, commonly known as Ford, is an American multinational automaker that has its main headquarters in Dearborn, Michigan."
157,Fastenal Company,FAST,26,10.7,8.7,7.1,2,Moderate Controversy,Industrials,
158,Freeport-McMoRan Inc.,FCX,32,16.6,10.1,5.2,4,Severe Controversy,Basic Materials,
159,FactSet Research Systems Inc.,FDS,20,2.9,10.9,6.6,1,Little Controversy,Financial Services,
160,FedEx Corporation,FDX,20,5.3,9.3,5.8,2,Moderate Controversy,Industrials,
161,FirstEnergy Corp.,FE,30,13.0,9.7,6.8,3,Relatively High Controversy,Utilities,
162,"F5, Inc.",FFIV,19,1.3,12.5,5.4,1,Little Controversy,Technology,
163,"Fidelity National Information Services, Inc.",FIS,18,1.3,11.1,5.7,1,Little Controversy,Technology,
164,"Fiserv, Inc. ",FISV,19,1.2,10.7,6.8,2,Moderate Controversy,Technology,
165,Fifth Third Bancorp,FITB,17,1.4,8.7,7.4,2,Moderate Controversy,Financial Services,
166,"FLEETCOR Technologies, Inc.",FLT,18,2.9,9.1,6.2,2,Moderate Controversy,Technology,
167,FMC Corporation,FMC,33,16.2,9.1,7.5,2,Moderate Controversy,Basic Materials,"FMC Corporation (Food Machinery and Chemical Corporation) is an American chemical manufacturing company headquartered in Philadelphia, Pennsylvania."
168,First Republic Bank,FRC,24,1.7,9.8,12.7,2,Moderate Controversy,Financial Services,
169,Federal Realty Investment Trust,FRT,12,2.3,4.3,5.8,1,Little Controversy,Real Estate,"Federal Realty Investment Trust is a real estate investment trust that invests in shopping centers in the Northeastern United States, the Mid-Atlantic states, California, and South Florida."
170,"Fortinet, Inc. ",FTNT,19,1.2,12.2,5.7,1,Little Controversy,Technology,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components."
171,Fortive Corporation,FTV,35,16.1,14.0,4.7,1,Little Controversy,Technology,
172,General Dynamics Corporation,GD,35,8.5,19.5,6.9,3,Relatively High Controversy,Industrials,
173,General Electric Company,GE,41,14.1,15.0,11.6,3,Relatively High Controversy,Industrials,
174,Gen Digital Inc. ,GEN,15,0.7,9.5,4.8,2,Moderate Controversy,Technology,
175,"Gilead Sciences, Inc.",GILD,22,0.0,14.0,8.0,2,Moderate Controversy,Healthcare,
176,"General Mills, Inc.",GIS,22,8.4,8.9,4.1,2,Moderate Controversy,Consumer Defensive,
177,Globe Life Inc. ,GL,20,1.6,8.2,10.5,1,Little Controversy,Financial Services,
178,Corning Incorporated ,GLW,19,7.3,5.2,6.9,2,Moderate Controversy,Technology,
179,General Motors Company,GM,31,10.3,12.9,7.7,4,Severe Controversy,Consumer Cyclical,
180,Alphabet Inc. ,GOOGL,24,1.7,11.1,11.4,4,Severe Controversy,Communication Services,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies."
181,Genuine Parts Company,GPC,13,3.6,5.2,3.8,2,Moderate Controversy,Consumer Cyclical,"Genuine Parts Company (GPC) is an American service organization engaged in the distribution of automotive replacement parts, industrial replacement parts, office products and electrical/electronic materials."
182,Global Payments Inc. ,GPN,19,1.3,11.0,6.8,1,Little Controversy,Industrials,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia."
183,Garmin Ltd. ,GRMN,19,5.4,7.9,5.3,2,Moderate Controversy,Technology,"Garmin Ltd. is an American multinational technology company with headquarters in Olathe, Kansas."
184,"The Goldman Sachs Group, Inc.",GS,26,1.3,12.7,12.2,3,Relatively High Controversy,Financial Services,"The Goldman Sachs Group, Inc., is an American multinational investment bank and financial services company headquartered in New York City. It offers services in investment management, securities, asset management, prime brokerage, and securities underwriting. It also provides investment banking to institutional investors."
185,"W.W. Grainger, Inc. ",GWW,15,3.0,5.0,6.0,1,Little Controversy,Industrials,
186,Halliburton Company,HAL,24,8.9,8.6,6.3,2,Moderate Controversy,Energy,
187,"Hasbro, Inc. ",HAS,7,0.0,2.9,4.2,2,Moderate Controversy,Consumer Cyclical,
188,Huntington Bancshares Incorporated ,HBAN,20,2.0,10.8,7.6,2,Moderate Controversy,Financial Services,
189,Huntington Bancshares Incorporated ,HCA,28,3.5,17.3,7.4,2,Moderate Controversy,Healthcare,
190,"The Home Depot, Inc. ",HD,13,3.4,5.5,3.6,2,Moderate Controversy,Consumer Cyclical,
191,Hess Corporation,HES,36,22.1,7.2,6.8,2,Moderate Controversy,Energy,
192,"The Hartford Financial Services Group, Inc.",HIG,16,1.5,6.0,8.7,1,Little Controversy,Financial Services,
193,Hilton Worldwide Holdings Inc.,HLT,17,7.0,6.8,3.7,2,Moderate Controversy,Consumer Cyclical,
194,"Hologic, Inc. ",HOLX,28,4.8,13.3,10.2,1,Little Controversy,Healthcare,
195,Honeywell International Inc,HON,29,10.6,10.2,8.5,3,Relatively High Controversy,Industrials,"Honeywell International Inc. is an American publicly traded, multinational conglomerate headquartered in Charlotte, North Carolina. It primarily operates in four areas of business: aerospace, building technologies, performance materials and technologies (PMT), and safety and productivity solutions (SPS)."
196,Hewlett Packard Enterprise Company,HPE,12,0.8,4.9,6.3,2,Moderate Controversy,Technology,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States."
197,HP Inc.,HPQ,11,0.1,5.0,5.8,2,Moderate Controversy,Technology,"HP Inc. is an American multinational information technology company headquartered in Palo Alto, California, that develops personal computers (PCs), printers and related supplies, as well as 3D printing solutions."
198,Hormel Foods Corporation,HRL,30,13.2,10.7,6.0,3,Relatively High Controversy,Consumer Defensive,"Hormel Foods Corporation is an American company founded in 1891 in Austin, Minnesota, by George A. Hormel as George A. Hormel & Company. Originally focusing on the packaging and selling of ham, Spam, sausage and other pork, chicken, beef and lamb products to consumers; by the 1980s, Hormel began offering a wider range of packaged and refrigerated foods."
199,"Henry Schein, Inc.",HSIC,13,2.1,5.6,5.6,2,Moderate Controversy,Healthcare,"Henry Schein, Inc. is an American distributor of health care products and services with a presence in 32 countries."
200,"Host Hotels & Resorts, Inc. ",HST,14,3.3,5.6,5.1,1,Little Controversy,Real Estate,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels."
201,The Hershey Company ,HSY,27,11.3,10.9,5.2,3,Relatively High Controversy,Consumer Defensive,
202,Humana Inc.,HUM,22,0.0,16.4,5.9,2,Moderate Controversy,Healthcare,
203,International Business Machines Corporation,IBM,15,0.5,6.7,7.6,2,Moderate Controversy,Technology,
204,Intercontinental Exchange,ICE,16,1.7,8.0,6.7,2,Moderate Controversy,Financial Services,
205,Idexx Laboratories,IDXX,19,3.3,7.1,9.1,1,Little Controversy,Healthcare,
206,IDEX Corporation,IEX,27,8.1,13.0,5.7,0,No Controversy,Industrials,
207,International Flavors & Fragrances,IFF,22,10.4,5.4,6.5,2,Moderate Controversy,Basic Materials,
208,Illumina,ILMN,11,1.0,3.7,6.2,3,Relatively High Controversy,Healthcare,"Illumina, Inc. is an American company. Incorporated on April 1, 1998, Illumina develops, manufactures, and markets integrated systems for the analysis of genetic variation and biological function. The company provides a line of products and services that serves the sequencing, genotyping and gene expression, and proteomics markets. Its headquarters are located in San Diego, California."
209,Incyte,INCY,24,1.5,15.6,7.1,1,Little Controversy,Healthcare,"Incyte Corp is an American pharmaceutical company based in Alapocas, Delaware."
210,Intel,INTC,17,4.4,5.9,7.0,3,Relatively High Controversy,Technology,"Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California, in Silicon Valley. It is the world's largest semiconductor chip manufacturer by revenue, and is the developer of the x86 series of microprocessors, the processors found in most personal computers (PCs)."
211,Intuit,INTU,16,1.0,10.5,4.7,2,Moderate Controversy,Technology,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks."
212,International Paper,IP,24,14.3,4.5,4.9,3,Relatively High Controversy,Consumer Cyclical,"The International Paper Company (NYSE: IP) is an American pulp and paper company, the largest such company in the world. The company is headquartered in Memphis, Tennessee."
213,Interpublic Group of Companies (The),IPG,10,0.0,5.1,5.3,1,Little Controversy,Communication Services,
214,IQVIA,IQV,19,1.3,10.6,7.2,2,Moderate Controversy,Healthcare,
215,Iron Mountain,IRM,15,5.0,3.7,6.0,2,Moderate Controversy,Real Estate,
216,Intuitive Surgical,ISRG,24,4.4,9.8,9.6,1,Little Controversy,Healthcare,
217,Gartner,IT,22,0.1,15.4,6.2,1,Little Controversy,Technology,
218,Illinois Tool Works,ITW,20,4.3,9.1,6.2,2,Moderate Controversy,Industrials,
219,Invesco,IVZ,20,0.7,9.9,9.8,2,Moderate Controversy,Financial Services,
220,Jacobs Solutions,J,22,5.3,11.5,5.6,3,Relatively High Controversy,Industrials,
221,J.B. Hunt,JBHT,14,3.0,6.0,4.9,1,Little Controversy,Industrials,
222,Johnson Controls,JCI,15,4.9,4.6,5.3,3,Relatively High Controversy,Industrials,"Johnson Controls International plc is an Irish-domiciled multinational conglomerate headquartered in Cork, Ireland, that produces fire, HVAC, and security equipment for buildings."
223,Jack Henry & Associates,JKHY,15,0.8,9.4,5.2,0,No Controversy,Technology,"Jack Henry & Associates, Inc. is a technology company and payment processing service for the financial services industry."
224,Johnson & Johnson,JNJ,25,0.7,15.8,8.6,4,Severe Controversy,Healthcare,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government."
225,Juniper Networks,JNPR,17,1.7,8.5,6.4,1,Little Controversy,Technology,"Juniper Networks, Inc. is an American multinational corporation headquartered in Sunnyvale, California. The company develops and markets networking products, including routers, switches, network management software, network security products, and software-defined networking technology."
226,JPMorgan Chase,JPM,29,1.1,16.2,11.7,3,Relatively High Controversy,Financial Services,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is incorporated in Delaware. As a Bulge Bracket bank, it is a major provider of various investment banking and financial services. It is one of America's Big Four banks, along with Bank of America, Citigroup, and Wells Fargo. JPMorgan Chase is considered to be a universal bank and a custodian bank. The J.P. Morgan brand is used by the investment banking, asset management, private banking, private wealth management, and treasury services divisions."
227,Kellogg's,K,27,7.4,14.9,4.6,2,Moderate Controversy,Consumer Defensive,
228,KeyCorp,KEY,23,1.9,11.1,10.2,1,Little Controversy,Financial Services,
229,Keysight,KEYS,9,2.0,2.2,5.0,1,Little Controversy,Technology,
230,Kraft Heinz,KHC,35,14.4,14.3,6.6,3,Relatively High Controversy,Consumer Defensive,
231,Kimco Realty,KIM,12,3.7,2.9,5.5,0,No Controversy,Real Estate,
232,KLA Corporation,KLAC,17,7.1,4.8,4.9,0,No Controversy,Technology,
233,Kimberly-Clark,KMB,22,8.1,7.8,6.2,2,Moderate Controversy,Consumer Defensive,
234,Kinder Morgan,KMI,19,7.8,7.3,3.5,2,Moderate Controversy,Energy,
235,CarMax,KMX,12,0.1,8.0,4.0,2,Moderate Controversy,Consumer Cyclical,
236,Coca-Cola Company (The),KO,23,7.9,9.7,4.9,3,Relatively High Controversy,Consumer Defensive,"The Coca-Cola Company is an American multinational beverage corporation incorporated under Delaware's General Corporation Law and headquartered in Atlanta, Georgia. The Coca-Cola Company has interests in the manufacturing, retailing, and marketing of nonalcoholic beverage concentrates and syrups."
237,Kroger,KR,21,6.5,9.4,5.5,3,Relatively High Controversy,Consumer Defensive,"The Kroger Company, or simply Kroger, is an American retail company founded by Bernard Kroger in 1883 in Cincinnati, Ohio."
238,Loews Corporation,L,16,0.6,4.3,11.6,2,Moderate Controversy,Financial Services,"Loews Corporation is an American conglomerate headquartered in New York City. The company's majority-stake holdings include CNA Financial Corporation, Diamond Offshore Drilling, Boardwalk Pipeline Partners, Loews Hotels and Altium Packaging."
239,Leidos,LDOS,12,1.3,5.0,5.4,2,Moderate Controversy,Technology,"Leidos, formerly known as Science Applications International Corporation (SAIC), is an American defense, aviation, information technology (Lockheed Martin IS&GS), and biomedical research company headquartered in Reston, Virginia, that provides scientific, engineering, systems integration, and technical services."
240,Lennar,LEN,23,8.9,8.8,5.5,2,Moderate Controversy,Consumer Cyclical,"Lennar Corporation is a home construction and real estate company based in Fontainebleau, Florida."
241,LabCorp,LH,19,0.1,11.6,7.1,2,Moderate Controversy,Healthcare,"Laboratory Corporation of America Holdings, more commonly known as Labcorp, is an American company headquartered in Burlington, North Carolina. It operates one of the largest clinical laboratory networks in the world, with a United States network of 36 primary laboratories."
242,LKQ Corporation,LKQ,11,3.3,4.0,3.3,2,Moderate Controversy,Consumer Cyclical,
243,Eli Lilly and Company,LLY,32,3.4,17.4,11.6,2,Moderate Controversy,Healthcare,
244,Lockheed Martin,LMT,28,5.3,15.9,7.2,3,Relatively High Controversy,Industrials,
245,Lincoln Financial,LNC,18,1.9,6.1,9.9,2,Moderate Controversy,Financial Services,
246,Alliant Energy,LNT,22,10.0,5.7,6.2,1,Little Controversy,Utilities,
247,Lowe's,LOW,11,3.7,4.6,3.2,2,Moderate Controversy,Consumer Cyclical,
248,Lam Research,LRCX,13,4.5,4.0,5.0,1,Little Controversy,Technology,
249,Southwest Airlines,LUV,32,11.0,15.0,6.0,2,Moderate Controversy,Industrials,
250,Las Vegas Sands,LVS,18,1.3,7.8,8.6,2,Moderate Controversy,Consumer Cyclical,
251,LyondellBasell,LYB,25,16.6,2.1,5.8,2,Moderate Controversy,Basic Materials,"LyondellBasell Industries N.V. (NYSE: LYB) is a Dutch-domiciled multinational chemical company with American and British roots, incorporated in the Netherlands, with U.S. operations headquarters in Houston, Texas, and offices in London, UK. The company is the largest licensor of polyethylene and polypropylene technologies. It also produces ethylene, propylene, polyolefins, and oxyfuels."
252,Mastercard,MA,17,0.3,8.1,8.6,4,Severe Controversy,Financial Services,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006."
253,Mid-America Apartment Communities,MAA,15,6.0,4.0,5.0,1,Little Controversy,Real Estate,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States."
254,Marriott International,MAR,22,8.8,9.1,4.1,3,Relatively High Controversy,Consumer Cyclical,"Marriott International, Inc. is an American multinational company that operates, franchises, and licenses lodging including hotel, residential, and timeshare properties. It is headquartered in Bethesda, Maryland."
255,Masco,MAS,22,9.4,5.8,7.2,1,Little Controversy,Industrials,Masco Corporation is a manufacturer of products for the home improvement and new home construction markets.
256,McDonald's,MCD,25,4.2,14.3,6.3,3,Relatively High Controversy,Consumer Cyclical,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona."
257,Microchip Technology,MCHP,31,15.0,9.0,7.0,1,Little Controversy,Technology,
258,McKesson,MCK,15,2.3,7.4,5.5,3,Relatively High Controversy,Healthcare,
259,Moody's Corporation,MCO,11,0.0,5.0,5.0,2,Moderate Controversy,Financial Services,
260,Mondelez International,MDLZ,24,9.0,9.0,5.0,3,Relatively High Controversy,Consumer Defensive,
261,Medtronic,MDT,23,2.4,12.6,7.6,3,Relatively High Controversy,Healthcare,
262,MetLife,MET,15,1.0,5.0,9.0,2,Moderate Controversy,Financial Services,
263,Meta Platforms,META,33,1.0,21.0,11.0,4,Severe Controversy,Communication Services,
264,MGM Resorts,MGM,25,2.0,13.0,11.0,2,Moderate Controversy,Consumer Cyclical,
265,Mohawk Industries,MHK,14,6.0,4.0,4.0,2,Moderate Controversy,Consumer Cyclical,
266,McCormick & Company,MKC,27,10.1,11.3,5.2,2,Moderate Controversy,Consumer Defensive,"McCormick & Company is an American multinational food company that manufactures, markets, and distributes spices, seasoning mixes, condiments, and other flavoring products to retail outlets, food manufacturers, and foodservice businesses."
267,Martin Marietta Materials,MLM,32,18.5,4.5,8.7,2,Moderate Controversy,Basic Materials,"Martin Marietta Materials, Inc. is an American-based company. The company is a supplier of aggregates and heavy building materials, with operations spanning 26 states, Canada and the Caribbean. In particular, Martin Marietta supplies the resources for roads, sidewalks and foundations."
268,Marsh McLennan,MMC,19,0.1,7.9,11.5,2,Moderate Controversy,Financial Services,"Marsh McLennan (formerly known as Marsh & McLennan Companies) is a global professional services firm, headquartered in New York City with businesses in insurance brokerage, risk management, reinsurance services, talent management, investment advisory, and management consulting. Its four main operating companies are Marsh, Guy Carpenter, Mercer, and Oliver Wyman."
269,3M,MMM,34,12.3,13.6,7.7,3,Relatively High Controversy,Industrials,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota."
270,Monster Beverage,MNST,28,12.0,11.0,5.0,2,Moderate Controversy,Consumer Defensive,"Monster Beverage Corporation is an American beverage company that manufactures energy drinks including Monster Energy, Relentless and Burn."
271,Altria,MO,24,4.7,13.0,6.3,2,Moderate Controversy,Consumer Defensive,"Altria Group, Inc. (previously known as Philip Morris Companies, Inc.) is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes and related products. It operates worldwide and is headquartered in unincorporated Henrico County, Virginia, just outside the city of Richmond."
272,Mosaic Company (The),MOS,34,14.0,11.0,9.0,2,Moderate Controversy,Basic Materials,
273,Marathon Petroleum,MPC,29,15.9,7.0,5.8,3,Relatively High Controversy,Energy,
274,Merck & Co.,MRK,22,1.0,11.0,10.0,3,Relatively High Controversy,Healthcare,
275,Marathon Oil,MRO,42,23.9,10.1,8.0,2,Moderate Controversy,Energy,
276,Morgan Stanley,MS,22,1.0,12.0,10.0,3,Relatively High Controversy,Financial Services,
277,MSCI,MSCI,16,2.0,7.0,8.0,0,No Controversy,Financial Services,
278,Microsoft,MSFT,15,2.0,8.0,5.0,3,Relatively High Controversy,Technology,
279,Motorola Solutions,MSI,14,2.0,7.0,5.0,3,Relatively High Controversy,Technology,
280,M&T Bank,MTB,26,2.2,12.8,11.2,1,Little Controversy,Financial Services,
281,Mettler Toledo,MTD,13,1.0,7.0,5.0,0,No Controversy,Healthcare,"Mettler Toledo (NYSE: MTD) is a multinational manufacturer of scales and analytical instruments. It is the largest provider of weighing instruments for use in laboratory, industrial, and food retailing applications. The company also provides various analytical instruments, process analytics instruments, and end-of-line inspection systems."
282,Micron Technology,MU,17,7.0,5.0,6.0,2,Moderate Controversy,Technology,"Micron Technology, Inc. is an American producer of computer memory and computer data storage including dynamic random-access memory, flash memory, and USB flash drives. It is headquartered in Boise, Idaho."
283,Norwegian Cruise Line Holdings,NCLH,26,12.0,10.0,4.0,2,Moderate Controversy,Consumer Cyclical,"Norwegian Cruise Line Holdings Ltd., is a cruise company in North America, Europe, Asia-Pacific and internationally. The company is headquartered in Miami, Florida."
284,Nasdaq Inc.,NDAQ,12,2.0,5.0,5.0,1,Little Controversy,Financial Services,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City."
285,Nordson Corporation,NDSN,27,9.0,12.0,6.0,1,Little Controversy,Industrials,"Nordson Corporation designs, manufactures, and markets products and systems for dispensing, applying, and controlling adhesives, coatings, polymers, sealants, biomaterials, and other fluids globally. The company is headquartered in Westlake, Ohio."
286,NextEra Energy,NEE,28,14.0,8.0,6.0,2,Moderate Controversy,Utilities,
